Region,Year,generated,source
Africa,1985,258.9858381,Total
Africa,1986,270.1096661,Total
Africa,1987,280.2595253,Total
Africa,1988,295.2956199,Total
Africa,1989,306.6478297,Total
Africa,1990,318.9210284,Total
Africa,1991,324.9979973,Total
Africa,1992,328.020152,Total
Africa,1993,339.205339,Total
Africa,1994,351.4704101,Total
Africa,1995,362.7282133,Total
Africa,1996,382.192337,Total
Africa,1997,400.909743,Total
Africa,1998,406.3086444,Total
Africa,1999,418.4042121,Total
Africa,2000,438.4965723,Total
Africa,2001,456.3890891,Total
Africa,2002,484.0474703,Total
Africa,2003,505.1997205,Total
Africa,2004,536.0148207,Total
Africa,2005,555.8101614,Total
Africa,2006,581.4589962,Total
Africa,2007,605.508949,Total
Africa,2008,619.5287432,Total
Africa,2009,627.0686268,Total
Africa,2010,671.5794359,Total
Africa,2011,689.0454023,Total
Africa,2012,720.6385579,Total
Africa,2013,743.4225102,Total
Africa,2014,767.3794763,Total
Africa,2015,787.3808428,Total
Africa,2016,802.4727441,Total
Africa,2017,828.0950568,Total
Africa,2018,845.7954563,Total
Africa,2019,870.1102509,Total
Asia,1985,1750.523221,Total
Asia,1986,1849.474372,Total
Asia,1987,2016.041928,Total
Asia,1988,2172.934015,Total
Asia,1989,2343.95198,Total
Asia,1990,2534.604295,Total
Asia,1991,2688.45732,Total
Asia,1992,2865.584962,Total
Asia,1993,3030.875419,Total
Asia,1994,3303.518318,Total
Asia,1995,3531.352802,Total
Asia,1996,3719.565623,Total
Asia,1997,3905.808816,Total
Asia,1998,4031.871016,Total
Asia,1999,4234.550586,Total
Asia,2000,4519.909657,Total
Asia,2001,4728.982141,Total
Asia,2002,5046.399955,Total
Asia,2003,5411.594346,Total
Asia,2004,5903.247811,Total
Asia,2005,6361.636937,Total
Asia,2006,6881.052057,Total
Asia,2007,7479.906005,Total
Asia,2008,7792.754184,Total
Asia,2009,8068.131561,Total
Asia,2010,8849.055166,Total
Asia,2011,9481.569738,Total
Asia,2012,9946.091383,Total
Asia,2013,10516.85232,Total
Asia,2014,11107.31275,Total
Asia,2015,11258.66678,Total
Asia,2016,11804.42186,Total
Asia,2017,12477.89219,Total
Asia,2018,13242.43512,Total
Asia,2019,13646.59884,Total
Europe,1985,2883.686131,Total
Europe,1986,2946.476504,Total
Europe,1987,3044.783414,Total
Europe,1988,3130.354356,Total
Europe,1989,3193.064746,Total
Europe,1990,3212.792731,Total
Europe,1991,3230.115765,Total
Europe,1992,3190.362239,Total
Europe,1993,3174.728257,Total
Europe,1994,3192.618275,Total
Europe,1995,3279.587267,Total
Europe,1996,3353.864548,Total
Europe,1997,3389.195436,Total
Europe,1998,3466.419163,Total
Europe,1999,3509.426879,Total
Europe,2000,3620.282803,Total
Europe,2001,3685.098394,Total
Europe,2002,3718.568773,Total
Europe,2003,3811.589001,Total
Europe,2004,3898.059649,Total
